"open","high","low","close","volume","timestamp","formattedOpen","formattedHigh","formattedLow","formattedClose","formattedVolume","formattedTimestamp","relatedNews","issue","redemption","highLow","peCode","newsPnacWithCsk","Date"
"4.421119","4.427581","4.392737","4.417244","0","2013-07-31T02:00:00+02:00","4.421119","4.427581","4.392737","4.417244","0","31/07/2013","","0","1","[object Object]","[object Object]","","2013-07-31"
"4.386261","4.399148","4.363106","4.373391","0","2013-08-01T02:00:00+02:00","4.386261","4.399148","4.363106","4.373391","0","01/08/2013","","0","1","[object Object]","[object Object]","","2013-08-01"
"4.369493","4.395246","4.265841","4.265841","0","2013-08-02T02:00:00+02:00","4.369493","4.395246","4.265841","4.265841","0","02/08/2013","","0","1","[object Object]","[object Object]","","2013-08-02"
"4.235257","4.296389","4.235257","4.295112","0","2013-08-05T02:00:00+02:00","4.235257","4.296389","4.235257","4.295112","0","05/08/2013","","0","1","[object Object]","[object Object]","","2013-08-05"
"4.274637","4.274637","4.225032","4.260622","0","2013-08-06T02:00:00+02:00","4.274637","4.274637","4.225032","4.260622","0","06/08/2013","","0","1","[object Object]","[object Object]","","2013-08-06"
"4.274457","4.287223","4.247699","4.259158","0","2013-08-07T02:00:00+02:00","4.274457","4.287223","4.247699","4.259158","0","07/08/2013","","0","1","[object Object]","[object Object]","","2013-08-07"
"4.243816","4.257821","4.200645","4.212055","0","2013-08-08T02:00:00+02:00","4.243816","4.257821","4.200645","4.212055","0","08/08/2013","","0","1","[object Object]","[object Object]","","2013-08-08"
"4.190435","4.225947","4.179046","4.187903","0","2013-08-09T02:00:00+02:00","4.190435","4.225947","4.179046","4.187903","0","09/08/2013","","0","1","[object Object]","[object Object]","","2013-08-09"
"4.191623","4.205565","4.157482","4.157482","0","2013-08-12T02:00:00+02:00","4.191623","4.205565","4.157482","4.157482","0","12/08/2013","","0","1","[object Object]","[object Object]","","2013-08-12"
"4.166239","4.227078","4.148561","4.227078","0","2013-08-13T02:00:00+02:00","4.166239","4.227078","4.148561","4.227078","0","13/08/2013","","0","1","[object Object]","[object Object]","","2013-08-13"
"4.247242","4.247242","4.172314","4.193848","0","2013-08-14T02:00:00+02:00","4.247242","4.247242","4.172314","4.193848","0","14/08/2013","","0","1","[object Object]","[object Object]","","2013-08-14"
"4.181096","4.293172","4.181096","4.252278","0","2013-08-15T02:00:00+02:00","4.181096","4.293172","4.181096","4.252278","0","15/08/2013","","0","1","[object Object]","[object Object]","","2013-08-15"
"4.240739","4.245837","4.18989","4.198771","0","2013-08-16T02:00:00+02:00","4.240739","4.245837","4.18989","4.198771","0","16/08/2013","","0","1","[object Object]","[object Object]","","2013-08-16"
"4.238124","4.290502","4.226662","4.273866","0","2013-08-19T02:00:00+02:00","4.238124","4.290502","4.226662","4.273866","0","19/08/2013","","0","1","[object Object]","[object Object]","","2013-08-19"
"4.27125","4.328949","4.255917","4.314816","0","2013-08-20T02:00:00+02:00","4.27125","4.328949","4.255917","4.314816","0","20/08/2013","","0","1","[object Object]","[object Object]","","2013-08-20"
"4.315954","4.375235","4.303112","4.359738","0","2013-08-21T02:00:00+02:00","4.315954","4.375235","4.303112","4.359738","0","21/08/2013","","0","1","[object Object]","[object Object]","","2013-08-21"
"4.399789","4.415349","4.309481","4.322335","0","2013-08-22T02:00:00+02:00","4.399789","4.415349","4.309481","4.322335","0","22/08/2013","","0","1","[object Object]","[object Object]","","2013-08-22"
"4.305578","4.37258","4.300442","4.335161","0","2013-08-23T02:00:00+02:00","4.305578","4.37258","4.300442","4.335161","0","23/08/2013","","0","1","[object Object]","[object Object]","","2013-08-23"
"4.437372","4.455605","4.367338","4.454302","0","2013-08-27T02:00:00+02:00","4.437372","4.455605","4.367338","4.454302","0","27/08/2013","","0","1","[object Object]","[object Object]","","2013-08-27"
"4.456863","4.472529","4.397023","4.406107","0","2013-08-28T02:00:00+02:00","4.456863","4.472529","4.397023","4.406107","0","28/08/2013","","0","1","[object Object]","[object Object]","","2013-08-28"
"4.398292","4.406081","4.362022","4.384028","0","2013-08-29T02:00:00+02:00","4.398292","4.406081","4.362022","4.384028","0","29/08/2013","","0","1","[object Object]","[object Object]","","2013-08-29"
"4.385293","4.411251","4.371044","4.398264","0","2013-08-30T02:00:00+02:00","4.385293","4.411251","4.371044","4.398264","0","30/08/2013","","0","1","[object Object]","[object Object]","","2013-08-30"
"4.408627","4.432044","4.35419","4.35419","0","2013-09-02T02:00:00+02:00","4.408627","4.432044","4.35419","4.35419","0","02/09/2013","","0","1","[object Object]","[object Object]","","2013-09-02"
"4.325744","4.364502","4.305132","4.350274","0","2013-09-03T02:00:00+02:00","4.325744","4.364502","4.305132","4.350274","0","03/09/2013","","0","1","[object Object]","[object Object]","","2013-09-03"
